Date : 2024-02-14 07:02:10
Directory : /Users/elias/Desktop/Portfolio/book-club-laravel-angular
Total : 297 files,  31309 codes, 1754 comments, 1927 blanks, all 34990 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          9 |     21,879 |          3 |          9 |     21,891 |
| TypeScript |        131 |      4,814 |         48 |        703 |      5,565 |
| PHP        |         87 |      2,514 |      1,641 |        825 |      4,980 |
| SCSS       |         51 |      1,915 |         33 |        338 |      2,286 |
| XML        |          8 |         79 |          4 |          1 |         84 |
| Markdown   |          3 |         60 |          0 |         36 |         96 |
| HTML       |          2 |         27 |          0 |          3 |         30 |
| JavaScript |          4 |         20 |         23 |         11 |         54 |
| CSS        |          2 |          1 |          2 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                                         |        297 |     31,309 |      1,754 |      1,927 |     34,990 |
| . (Files)                                                                                                                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| books-management-php-angular                                                                                                                                                                                                              |        296 |     31,308 |      1,754 |      1,927 |     34,989 |
| books-management-php-angular/book-api                                                                                                                                                                                                     |         98 |     11,181 |      1,668 |        863 |     13,712 |
| books-management-php-angular/book-api (Files)                                                                                                                                                                                             |          6 |      8,656 |          2 |         28 |      8,686 |
| books-management-php-angular/book-api/app                                                                                                                                                                                                 |         46 |      1,396 |        454 |        381 |      2,231 |
| books-management-php-angular/book-api/app/Console                                                                                                                                                                                         |          1 |         15 |          7 |          6 |         28 |
| books-management-php-angular/book-api/app/Exceptions                                                                                                                                                                                      |          1 |         17 |          9 |          5 |         31 |
| books-management-php-angular/book-api/app/Filters                                                                                                                                                                                         |          3 |         86 |          0 |         21 |        107 |
| books-management-php-angular/book-api/app/Filters (Files)                                                                                                                                                                                 |          1 |         31 |          0 |         11 |         42 |
| books-management-php-angular/book-api/app/Filters/V1                                                                                                                                                                                      |          2 |         55 |          0 |         10 |         65 |
| books-management-php-angular/book-api/app/Http                                                                                                                                                                                            |         29 |        980 |        284 |        254 |      1,518 |
| books-management-php-angular/book-api/app/Http (Files)                                                                                                                                                                                    |          1 |         41 |         21 |          7 |         69 |
| books-management-php-angular/book-api/app/Http/Controllers                                                                                                                                                                                |          5 |        323 |         81 |         86 |        490 |
| books-management-php-angular/book-api/app/Http/Controllers (Files)                                                                                                                                                                        |          1 |          9 |          0 |          4 |         13 |
| books-management-php-angular/book-api/app/Http/Controllers/Api                                                                                                                                                                            |          4 |        314 |         81 |         82 |        477 |
| books-management-php-angular/book-api/app/Http/Controllers/Api/V1                                                                                                                                                                         |          4 |        314 |         81 |         82 |        477 |
| books-management-php-angular/book-api/app/Http/Middleware                                                                                                                                                                                 |          9 |        100 |         57 |         39 |        196 |
| books-management-php-angular/book-api/app/Http/Requests                                                                                                                                                                                   |          8 |        397 |         73 |         82 |        552 |
| books-management-php-angular/book-api/app/Http/Resources                                                                                                                                                                                  |          6 |        119 |         52 |         40 |        211 |
| books-management-php-angular/book-api/app/Http/Resources/V1                                                                                                                                                                               |          6 |        119 |         52 |         40 |        211 |
| books-management-php-angular/book-api/app/Models                                                                                                                                                                                          |          4 |        131 |         26 |         37 |        194 |
| books-management-php-angular/book-api/app/Policies                                                                                                                                                                                        |          3 |         87 |         84 |         30 |        201 |
| books-management-php-angular/book-api/app/Providers                                                                                                                                                                                       |          5 |         80 |         44 |         28 |        152 |
| books-management-php-angular/book-api/bootstrap                                                                                                                                                                                           |          1 |         17 |         30 |          9 |         56 |
| books-management-php-angular/book-api/config                                                                                                                                                                                              |         16 |        588 |        982 |        295 |      1,865 |
| books-management-php-angular/book-api/database                                                                                                                                                                                            |         14 |        301 |         92 |         64 |        457 |
| books-management-php-angular/book-api/database/factories                                                                                                                                                                                  |          4 |         97 |         38 |         21 |        156 |
| books-management-php-angular/book-api/database/migrations                                                                                                                                                                                 |          6 |        147 |         36 |         24 |        207 |
| books-management-php-angular/book-api/database/seeders                                                                                                                                                                                    |          4 |         57 |         18 |         19 |         94 |
| books-management-php-angular/book-api/public                                                                                                                                                                                              |          1 |         14 |         30 |         12 |         56 |
| books-management-php-angular/book-api/resources                                                                                                                                                                                           |          4 |        122 |         23 |         32 |        177 |
| books-management-php-angular/book-api/resources/css                                                                                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| books-management-php-angular/book-api/resources/js                                                                                                                                                                                        |          2 |          4 |         23 |          8 |         35 |
| books-management-php-angular/book-api/resources/views                                                                                                                                                                                     |          1 |        118 |          0 |         23 |        141 |
| books-management-php-angular/book-api/routes                                                                                                                                                                                              |          4 |         39 |         43 |         22 |        104 |
| books-management-php-angular/book-api/tests                                                                                                                                                                                               |          4 |         41 |         10 |         19 |         70 |
| books-management-php-angular/book-api/tests (Files)                                                                                                                                                                                       |          2 |         20 |          3 |         10 |         33 |
| books-management-php-angular/book-api/tests/Feature                                                                                                                                                                                       |          1 |         11 |          4 |          5 |         20 |
| books-management-php-angular/book-api/tests/Unit                                                                                                                                                                                          |          1 |         10 |          3 |          4 |         17 |
| books-management-php-angular/book-api/vendor                                                                                                                                                                                              |          2 |          7 |          2 |          1 |         10 |
| books-management-php-angular/book-api/vendor/spatie                                                                                                                                                                                       |          2 |          7 |          2 |          1 |         10 |
| books-management-php-angular/book-api/vendor/spatie/ignition                                                                                                                                                                              |          2 |          7 |          2 |          1 |         10 |
| books-management-php-angular/book-api/vendor/spatie/ignition/resources                                                                                                                                                                    |          2 |          7 |          2 |          1 |         10 |
| books-management-php-angular/book-api/vendor/spatie/ignition/resources/compiled                                                                                                                                                           |          2 |          7 |          2 |          1 |         10 |
| books-management-php-angular/client                                                                                                                                                                                                       |        198 |     20,127 |         86 |      1,064 |     21,277 |
| books-management-php-angular/client/book-management                                                                                                                                                                                       |        198 |     20,127 |         86 |      1,064 |     21,277 |
| books-management-php-angular/client/book-management (Files)                                                                                                                                                                               |          7 |     13,322 |          3 |         20 |     13,345 |
| books-management-php-angular/client/book-management/src                                                                                                                                                                                   |        191 |      6,805 |         83 |      1,044 |      7,932 |
| books-management-php-angular/client/book-management/src (Files)                                                                                                                                                                           |          3 |        216 |          3 |         28 |        247 |
| books-management-php-angular/client/book-management/src/app                                                                                                                                                                               |        179 |      6,532 |         78 |      1,014 |      7,624 |
| books-management-php-angular/client/book-management/src/app (Files)                                                                                                                                                                       |          5 |        128 |          0 |         17 |        145 |
| books-management-php-angular/client/book-management/src/app/_data                                                                                                                                                                         |          1 |         72 |          0 |          5 |         77 |
| books-management-php-angular/client/book-management/src/app/_interceptors                                                                                                                                                                 |          4 |        116 |          0 |         14 |        130 |
| books-management-php-angular/client/book-management/src/app/_models                                                                                                                                                                       |          5 |        102 |          0 |         11 |        113 |
| books-management-php-angular/client/book-management/src/app/_modules                                                                                                                                                                      |          1 |         14 |          0 |          2 |         16 |
